record_id,district,latitude,longitude,elevation_m,slope_deg,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,soil_moisture_index,soil_type,geology,land_cover,ndvi,road_distance_km,river_distance_km,road_cutting,deforestation_index,landslide_occurrence,risk_score,risk_level
8917,Kamrup,24.192068,92.727976,205.06,17.92,129.46,262.18,583.83,0.391,colluvial,sandstone,cropland,0.574,2.893,5.733,0,0.178,1,60.57,High
8918,Nagaon,26.011358,95.138152,45.69,2.56,116.68,222.76,528.71,0.256,colluvial,alluvium,forest,0.511,0.525,0.84,0,0.422,1,34.13,Moderate
8919,Hailakandi,25.650471,91.710847,120.3,10.84,148.9,413.34,944.0,0.415,alluvial,shale,grassland,0.571,0.842,1.755,1,0.468,1,68.41,High
8920,Kamrup Metropolitan,24.916778,95.72097,784.37,13.51,44.83,140.84,630.17,0.341,clayey,alluvium,shrubland,0.674,1.057,0.377,1,0.257,1,50.62,High
8921,Kamrup,24.338803,89.98939,274.11,3.46,60.68,174.71,546.87,0.346,lateritic,weathered_mixed_rock,shrubland,0.566,3.242,3.254,0,0.314,0,30.99,Moderate
8922,Dima Hasao,27.398483,93.14055,111.83,7.32,112.65,319.84,580.56,0.436,clayey,shale,grassland,0.627,0.499,1.135,0,0.292,1,55.63,High
8923,Udalguri,26.616268,93.0235,313.44,21.24,101.78,319.96,736.61,0.311,alluvial,granite,forest,0.596,0.271,0.063,1,0.519,1,70.12,High
8924,Nagaon,26.540113,93.664519,29.19,2.78,23.79,87.92,151.52,0.334,lateritic,alluvium,grassland,0.827,0.069,2.091,0,0.092,0,19.4,Low
8925,Karbi Anglong,27.894856,92.96129,409.96,11.37,76.66,161.76,548.89,0.396,alluvial,alluvium,forest,0.754,1.167,0.02,0,0.157,1,44.34,Moderate
8926,Darrang,24.052876,93.686377,129.24,1.72,79.89,277.98,923.92,0.413,alluvial,gneiss,shrubland,0.549,4.411,0.387,0,0.462,1,35.89,Moderate
8927,Darrang,26.328295,95.621731,34.02,5.31,15.82,118.44,441.61,0.336,clayey,sandstone,forest,0.616,0.784,1.096,0,0.496,0,25.67,Moderate
8928,Karbi Anglong,28.096813,91.479167,217.97,34.22,156.16,614.36,1200.0,0.645,colluvial,weathered_mixed_rock,forest,0.563,0.63,0.801,1,0.368,1,90.28,Very High
8929,Dima Hasao,25.935255,94.266875,302.69,20.53,117.14,347.83,1156.12,0.324,sandy_loam,weathered_mixed_rock,cropland,0.666,0.228,1.02,0,0.184,1,68.48,High
8930,Majuli,26.030136,93.29149,86.61,6.28,16.82,174.53,523.16,0.334,weathered_rock,sandstone,shrubland,0.689,2.877,0.02,0,0.376,0,30.61,Moderate
8931,Hailakandi,24.299265,93.550544,489.35,20.57,107.87,278.04,644.62,0.468,lateritic,alluvium,forest,0.646,3.159,5.533,0,0.365,1,64.65,High
8932,Karbi Anglong,27.027365,92.617607,500.54,7.58,56.37,152.49,452.23,0.356,clayey,shale,forest,0.502,0.712,1.617,1,0.411,0,46.22,Moderate
8933,Karbi Anglong,27.276282,92.063868,317.56,42.07,80.81,254.31,734.96,0.467,weathered_rock,alluvium,cropland,0.426,3.436,0.79,0,0.649,1,81.69,Very High
8934,Biswanath,24.597914,92.192115,28.85,9.47,31.33,139.97,611.93,0.28,alluvial,sandstone,forest,0.603,0.561,2.302,0,0.413,0,30.4,Moderate
8935,Udalguri,26.744388,92.147058,632.44,22.24,75.06,116.93,446.2,0.436,weathered_rock,granite,forest,0.522,4.235,2.534,0,0.486,1,55.86,High
8936,Sonitpur,25.605947,95.375255,262.97,16.96,106.22,264.86,593.74,0.353,colluvial,alluvium,grassland,0.576,1.537,4.622,1,0.509,1,63.65,High
8937,Dima Hasao,26.428532,95.696371,246.57,20.68,75.74,141.48,283.49,0.385,clayey,gneiss,cropland,0.801,3.122,0.198,0,0.113,1,54.36,High
8938,Baksa,26.901919,94.909848,107.41,1.38,54.02,144.66,435.5,0.315,alluvial,alluvium,grassland,0.747,3.11,0.75,0,0.149,0,19.81,Low
8939,Cachar,24.433273,90.668321,142.78,17.35,71.85,237.89,715.44,0.391,clayey,granite,forest,0.583,1.158,1.24,1,0.506,1,62.66,High
8940,West Karbi Anglong,25.294026,91.526482,86.05,4.48,64.72,137.25,418.66,0.36,sandy_loam,alluvium,forest,0.744,0.05,1.94,1,0.237,0,40.45,Moderate
8941,Goalpara,27.622568,91.12906,488.79,39.93,46.34,155.22,524.06,0.416,sandy_loam,shale,forest,0.742,4.774,0.253,0,0.177,0,73.64,High
8942,Hailakandi,24.728723,94.426745,269.97,8.06,90.49,296.8,1048.93,0.369,sandy_loam,gneiss,built_up,0.62,3.819,3.279,0,0.113,1,46.3,Moderate
8943,Morigaon,26.795741,89.756886,97.93,3.44,40.23,136.87,253.44,0.329,lateritic,gneiss,cropland,0.581,1.587,0.707,0,0.483,1,25.13,Moderate
8944,Dhubri,27.597004,92.958504,28.83,4.11,65.89,294.71,1011.11,0.352,weathered_rock,shale,forest,0.514,2.448,0.982,0,0.543,1,40.23,Moderate
8945,West Karbi Anglong,26.686961,93.876917,335.45,11.24,82.31,213.62,647.09,0.425,sandy_loam,alluvium,shrubland,0.573,3.739,3.243,0,0.601,0,47.96,Moderate
8946,Morigaon,27.376442,91.293271,117.19,2.22,94.32,277.41,932.66,0.295,sandy_loam,shale,cropland,0.774,1.28,0.278,0,0.205,1,35.85,Moderate
8947,Jorhat,26.102689,95.129937,41.77,3.63,103.3,368.67,726.8,0.354,alluvial,gneiss,cropland,0.674,1.007,0.118,0,0.21,1,46.4,Moderate
8948,Dhubri,27.795334,90.543607,52.33,0.55,79.47,246.7,493.63,0.398,alluvial,alluvium,cropland,0.764,7.885,0.993,0,0.189,0,28.65,Moderate
8949,West Karbi Anglong,26.91208,92.80315,235.39,18.31,66.14,143.62,361.46,0.431,alluvial,sandstone,cropland,0.707,4.336,1.654,0,0.18,1,49.74,Moderate
8950,Kamrup Metropolitan,25.469472,92.175863,262.18,5.65,48.19,133.72,444.2,0.471,alluvial,alluvium,shrubland,0.665,8.134,1.447,0,0.222,1,30.98,Moderate
8951,West Karbi Anglong,26.235392,92.687065,275.49,30.45,32.86,143.32,570.76,0.344,weathered_rock,weathered_mixed_rock,cropland,0.569,6.305,0.132,0,0.366,1,64.12,High
8952,Nagaon,26.781884,94.005075,25.36,5.21,25.6,69.97,266.4,0.362,clayey,granite,forest,0.493,1.098,1.085,0,0.446,0,22.74,Low
8953,Dima Hasao,27.386867,91.957428,370.86,12.65,93.83,231.09,731.92,0.304,alluvial,sandstone,forest,0.619,2.634,1.066,1,0.269,0,54.45,High
8954,Kamrup Metropolitan,24.724745,93.484114,222.75,8.4,27.19,104.1,334.06,0.243,alluvial,sandstone,grassland,0.411,1.677,0.105,0,0.293,0,28.75,Moderate
8955,Cachar,28.258634,90.325248,400.63,6.72,57.73,159.36,381.51,0.469,clayey,shale,cropland,0.519,2.559,3.404,0,0.282,0,38.21,Moderate
8956,Cachar,24.647328,90.512837,390.59,29.83,80.86,242.28,913.23,0.271,weathered_rock,shale,forest,0.514,2.886,1.466,1,0.303,0,71.01,High
8957,Sonitpur,26.337165,90.223944,375.12,34.81,52.84,121.6,314.36,0.329,colluvial,alluvium,forest,0.582,2.634,2.457,0,0.356,0,65.7,High
8958,Hojai,24.074694,92.76538,60.15,7.24,70.91,199.3,731.14,0.413,sandy_loam,granite,forest,0.673,4.994,0.493,0,0.239,0,35.62,Moderate
8959,Udalguri,25.893668,95.815784,601.79,15.3,21.48,104.63,417.87,0.241,colluvial,gneiss,forest,0.622,1.539,1.116,0,0.327,1,37.95,Moderate
8960,Hojai,24.011488,90.524659,20.56,1.02,59.77,195.5,347.91,0.477,sandy_loam,granite,forest,0.582,16.171,2.325,0,0.326,0,27.11,Moderate
8961,West Karbi Anglong,24.301997,93.389926,550.01,11.05,63.63,128.68,500.46,0.429,clayey,gneiss,grassland,0.608,3.382,1.188,0,0.339,1,41.08,Moderate
8962,Kamrup,26.356582,91.72628,465.07,20.7,99.42,388.89,1070.3,0.444,colluvial,alluvium,cropland,0.787,1.581,4.153,0,0.266,1,71.01,High
8963,Hailakandi,25.962629,94.247027,260.71,8.77,73.01,281.71,617.32,0.416,lateritic,sandstone,shrubland,0.722,2.266,0.032,1,0.197,0,56.56,High
8964,Dima Hasao,24.272255,90.072795,357.23,46.23,28.65,90.52,264.15,0.238,lateritic,sandstone,grassland,0.652,0.848,0.876,0,0.281,1,72.24,High
8965,Kamrup Metropolitan,28.004325,92.19396,236.78,19.37,89.67,292.56,651.36,0.424,alluvial,shale,cropland,0.66,9.359,8.886,0,0.206,0,62.01,High
8966,Sonitpur,25.506076,91.449909,533.17,22.03,105.13,209.39,611.48,0.411,clayey,alluvium,forest,0.582,0.1,0.093,1,0.462,1,67.2,High
8967,Darrang,27.194128,91.135079,16.7,0.93,85.07,198.14,792.8,0.33,alluvial,sandstone,grassland,0.469,1.56,0.188,0,0.394,1,28.56,Moderate
8968,Tinsukia,28.138965,93.746603,73.03,5.83,83.49,173.61,647.53,0.266,weathered_rock,shale,bare_land,0.628,1.297,6.896,0,0.349,0,32.32,Moderate
8969,Kamrup Metropolitan,27.908423,93.575566,156.96,9.87,25.25,112.94,294.37,0.275,sandy_loam,alluvium,grassland,0.699,0.318,2.848,0,0.32,1,32.28,Moderate
8970,Dima Hasao,26.935056,92.221337,391.29,23.01,34.33,116.47,400.68,0.355,sandy_loam,sandstone,shrubland,0.558,0.312,5.663,1,0.261,1,58.98,High
8971,Dima Hasao,24.078088,92.922069,779.47,12.61,85.26,237.14,607.14,0.493,clayey,granite,shrubland,0.552,4.724,1.647,0,0.323,1,53.13,High
8972,Darrang,26.756342,91.470746,93.8,5.24,44.75,104.1,196.95,0.253,sandy_loam,gneiss,cropland,0.7,0.52,0.774,0,0.262,1,23.4,Low
8973,West Karbi Anglong,24.35911,92.56274,322.97,29.97,111.75,366.59,910.95,0.566,sandy_loam,sandstone,forest,0.556,1.606,0.329,0,0.385,1,79.95,Very High
8974,Dima Hasao,25.83685,94.648971,341.06,8.58,30.07,216.59,775.43,0.393,sandy_loam,shale,shrubland,0.522,1.74,3.364,1,0.59,1,49.94,Moderate
8975,Hailakandi,27.930121,91.545301,77.9,31.27,123.7,389.42,1158.17,0.374,clayey,alluvium,forest,0.655,0.597,1.216,1,0.239,1,80.58,Very High
8976,Kamrup Metropolitan,24.513165,91.492176,658.52,24.87,65.2,202.98,412.47,0.385,weathered_rock,alluvium,cropland,0.684,5.807,0.331,0,0.091,0,61.84,High
8977,Cachar,27.032361,93.72573,250.7,18.23,96.23,396.09,1121.8,0.465,clayey,alluvium,forest,0.701,1.066,1.601,0,0.255,0,69.56,High
8978,Dhemaji,25.219622,94.883451,100.79,3.62,39.11,140.71,289.99,0.182,clayey,gneiss,forest,0.69,2.013,2.07,0,0.185,0,19.15,Low
8979,Sonitpur,24.695136,94.872323,312.01,7.04,30.22,119.34,286.71,0.387,colluvial,gneiss,built_up,0.595,0.772,0.437,1,0.255,1,42.87,Moderate
8980,Cachar,25.033059,92.095698,482.92,18.74,29.05,59.77,231.98,0.41,lateritic,alluvium,grassland,0.585,0.958,4.894,0,0.506,1,45.09,Moderate
8981,Dibrugarh,25.746102,90.179898,65.16,5.48,176.31,550.1,1164.81,0.435,sandy_loam,gneiss,grassland,0.621,0.38,0.56,0,0.31,1,65.48,High
8982,Sonitpur,27.463173,90.888889,171.03,27.9,34.44,156.24,543.77,0.333,sandy_loam,alluvium,cropland,0.394,4.178,1.987,0,0.486,1,59.35,High
8983,Sonitpur,26.215164,90.784789,471.44,13.38,66.75,252.23,853.95,0.324,lateritic,gneiss,cropland,0.496,0.258,5.687,1,0.501,1,58.76,High
8984,Kamrup Metropolitan,25.505724,90.651446,446.25,18.58,36.97,151.19,293.42,0.334,clayey,granite,built_up,0.566,0.434,2.646,1,0.422,1,57.11,High
8985,Dima Hasao,24.756799,95.751534,460.7,33.51,62.95,226.9,525.72,0.388,colluvial,alluvium,built_up,0.539,0.793,7.328,0,0.188,1,72.17,High
8986,Lakhimpur,25.091289,91.98116,58.68,2.64,63.61,109.46,394.56,0.295,lateritic,alluvium,forest,0.623,1.356,0.664,0,0.208,0,20.89,Low
8987,Cachar,28.066564,93.358031,390.35,16.42,176.8,511.47,1200.0,0.538,clayey,shale,forest,0.688,5.33,2.131,0,0.317,1,76.47,Very High
8988,Karimganj,24.952389,92.405486,229.72,14.86,41.81,154.27,400.02,0.356,colluvial,alluvium,forest,0.814,6.16,4.531,0,0.089,1,41.2,Moderate
8989,Nagaon,25.401641,95.449313,96.39,4.3,49.51,206.08,378.8,0.327,clayey,gneiss,built_up,0.57,1.955,3.927,0,0.482,0,30.53,Moderate
8990,Darrang,26.09916,94.37267,104.25,3.25,16.97,94.84,408.03,0.3,lateritic,gneiss,cropland,0.536,1.569,4.543,0,0.203,1,17.82,Low
8991,West Karbi Anglong,25.94355,94.259159,623.69,22.22,62.29,191.3,529.15,0.417,alluvial,granite,forest,0.459,0.161,0.758,0,0.428,0,61.33,High
8992,Karbi Anglong,25.315865,92.605238,664.53,20.67,83.44,214.94,566.74,0.478,alluvial,gneiss,forest,0.763,5.856,4.566,0,0.292,0,59.3,High
8993,Cachar,24.069,94.403119,730.96,7.28,134.31,577.41,1200.0,0.48,alluvial,alluvium,bare_land,0.588,0.372,1.566,0,0.409,0,68.48,High
8994,Goalpara,27.543901,94.748094,151.3,17.71,35.45,127.71,510.91,0.39,lateritic,alluvium,bare_land,0.65,3.92,0.897,0,0.315,1,46.55,Moderate
8995,West Karbi Anglong,24.330668,95.891811,288.9,36.25,19.44,129.7,461.08,0.34,alluvial,alluvium,forest,0.641,1.576,1.476,0,0.16,1,65.71,High
8996,Kamrup,27.396729,90.574382,230.49,37.75,79.63,195.1,492.01,0.29,clayey,sandstone,forest,0.541,0.358,0.276,1,0.354,1,75.31,Very High
8997,Karbi Anglong,25.320788,93.957523,375.14,9.79,65.59,252.03,417.55,0.368,alluvial,shale,bare_land,0.57,1.434,7.224,1,0.519,1,54.79,High
8998,Nalbari,27.918414,90.932281,13.81,4.76,27.97,92.02,410.19,0.289,clayey,alluvium,shrubland,0.683,0.823,0.104,0,0.362,1,23.07,Low
8999,Dima Hasao,26.137723,93.689502,683.82,8.6,28.35,245.14,759.09,0.29,alluvial,weathered_mixed_rock,bare_land,0.454,2.294,0.683,0,0.49,1,41.67,Moderate
9000,Dhubri,24.049959,91.230821,23.4,11.2,107.38,364.46,946.89,0.545,clayey,gneiss,grassland,0.604,0.881,2.73,0,0.607,1,62.15,High
9001,Kokrajhar,26.227425,90.177418,20.77,3.35,126.59,331.57,693.74,0.379,lateritic,gneiss,forest,0.638,9.075,0.254,0,0.098,0,42.63,Moderate
9002,Kamrup,27.911304,94.507509,90.76,12.69,128.72,466.61,1200.0,0.56,clayey,gneiss,grassland,0.679,1.066,0.321,1,0.27,1,74.15,High
9003,Dhemaji,24.169608,92.16054,19.7,1.84,26.18,91.92,389.5,0.31,lateritic,alluvium,cropland,0.496,0.065,3.109,0,0.296,0,18.95,Low
9004,Hailakandi,25.969175,91.249584,304.76,9.88,99.43,298.59,995.34,0.318,alluvial,shale,cropland,0.726,0.058,4.164,1,0.347,1,58.87,High
9005,Udalguri,27.008189,94.628261,269.31,3.36,50.71,85.93,299.43,0.208,sandy_loam,weathered_mixed_rock,forest,0.641,1.377,1.726,0,0.296,1,21.06,Low
9006,Cachar,24.284448,92.213251,500.34,20.15,30.89,78.43,435.2,0.279,alluvial,sandstone,cropland,0.653,1.72,1.17,1,0.251,1,50.31,High
9007,West Karbi Anglong,25.00441,91.092009,334.07,48.0,61.12,151.66,240.88,0.375,sandy_loam,granite,forest,0.649,1.513,3.609,1,0.297,1,78.68,Very High
9008,Kamrup Metropolitan,24.148494,93.66087,500.16,9.06,15.79,111.12,502.52,0.423,alluvial,granite,shrubland,0.695,2.032,3.193,1,0.166,1,39.46,Moderate
9009,Goalpara,26.394611,91.112452,487.75,27.76,136.31,395.96,785.08,0.509,clayey,granite,forest,0.546,2.419,0.938,1,0.383,1,80.25,Very High
9010,Darrang,27.503647,95.769687,83.65,6.08,81.66,315.66,969.7,0.313,alluvial,gneiss,grassland,0.585,0.863,0.638,0,0.411,1,43.58,Moderate
9011,West Karbi Anglong,25.53317,92.917653,591.36,23.9,167.41,497.61,1069.98,0.587,sandy_loam,gneiss,forest,0.721,2.896,2.087,0,0.077,1,81.84,Very High
9012,Cachar,24.479262,95.266411,462.63,34.3,26.04,120.2,344.77,0.346,weathered_rock,weathered_mixed_rock,cropland,0.738,4.063,2.537,0,0.114,1,64.54,High
9013,Dima Hasao,26.261035,90.150205,512.27,16.93,98.57,243.82,498.31,0.448,lateritic,sandstone,cropland,0.399,11.245,4.528,0,0.46,1,58.36,High
9014,Dima Hasao,27.725659,92.353816,1074.54,5.7,30.25,126.64,312.16,0.327,lateritic,sandstone,forest,0.664,3.802,0.862,0,0.472,1,28.42,Moderate
9015,West Karbi Anglong,26.530457,89.766488,548.08,11.86,127.45,310.42,683.54,0.448,alluvial,shale,forest,0.689,2.275,1.255,1,0.194,1,62.86,High
9016,Dima Hasao,24.9369,93.155237,625.52,29.41,55.92,185.7,339.1,0.396,weathered_rock,weathered_mixed_rock,forest,0.566,1.824,4.068,0,0.093,1,65.8,High
9017,Dima Hasao,24.934352,91.866184,1122.4,8.45,60.57,237.11,820.19,0.422,colluvial,shale,shrubland,0.583,5.6,1.024,0,0.294,0,45.4,Moderate
9018,Golaghat,25.468909,94.475394,12.31,3.04,58.3,209.88,512.01,0.305,alluvial,alluvium,shrubland,0.559,0.818,0.349,0,0.453,1,30.25,Moderate
9019,Dima Hasao,24.360922,90.148892,654.86,28.8,166.26,418.52,1200.0,0.44,sandy_loam,alluvium,forest,0.487,0.226,2.9,1,0.513,1,81.39,Very High
9020,Sonitpur,26.330012,92.544515,274.44,48.0,57.76,193.79,609.09,0.367,clayey,gneiss,shrubland,0.527,2.252,1.88,0,0.393,1,79.51,Very High
9021,West Karbi Anglong,28.179856,91.439951,612.75,16.63,45.82,153.88,272.57,0.394,sandy_loam,sandstone,cropland,0.563,3.638,0.088,0,0.504,0,49.95,Moderate
9022,Morigaon,27.455503,92.02213,10.06,1.91,80.42,345.5,997.44,0.317,colluvial,granite,cropland,0.638,0.508,0.366,0,0.416,0,42.74,Moderate
9023,Goalpara,26.350354,94.024809,665.82,10.49,64.47,151.67,437.45,0.37,sandy_loam,alluvium,forest,0.581,3.853,1.746,0,0.461,0,38.89,Moderate
9024,West Karbi Anglong,27.958059,91.288396,356.91,20.19,89.12,217.88,457.03,0.543,sandy_loam,shale,forest,0.437,2.424,1.493,1,0.289,1,66.24,High
9025,Kamrup,26.482159,94.817573,727.1,15.32,27.48,115.76,418.44,0.267,lateritic,shale,forest,0.744,3.814,3.319,0,0.068,1,36.17,Moderate
9026,Cachar,27.435996,91.155019,341.14,8.28,63.09,284.05,1083.51,0.405,sandy_loam,weathered_mixed_rock,forest,0.335,2.407,1.881,1,0.588,0,55.72,High
9027,Kamrup Metropolitan,24.793845,93.586154,727.93,10.79,135.61,383.36,838.64,0.546,lateritic,alluvium,forest,0.486,1.376,1.345,1,0.399,1,68.18,High
9028,Dima Hasao,24.828231,93.744272,302.68,23.95,62.64,260.85,810.41,0.495,alluvial,gneiss,forest,0.526,0.234,1.005,1,0.354,1,70.86,High
9029,South Salmara-Mankachar,27.729812,91.647359,52.47,3.1,52.15,107.97,424.44,0.274,alluvial,granite,forest,0.653,0.24,1.101,0,0.179,1,21.07,Low
9030,Hailakandi,24.993366,92.468688,214.18,9.54,232.88,576.84,1200.0,0.498,lateritic,alluvium,forest,0.691,0.879,0.611,1,0.182,1,73.9,High
9031,Cachar,26.383666,90.515944,166.42,10.08,127.81,388.62,1156.44,0.445,sandy_loam,alluvium,grassland,0.656,2.98,0.135,1,0.315,1,65.87,High
9032,Dhemaji,24.916862,92.329169,32.05,1.47,41.52,207.13,666.37,0.478,sandy_loam,shale,cropland,0.541,0.3,2.795,0,0.162,1,31.27,Moderate
9033,Cachar,26.609215,93.890799,569.48,20.14,55.13,102.97,395.64,0.381,clayey,alluvium,cropland,0.65,0.619,7.38,0,0.324,1,50.8,High
9034,Nagaon,25.961516,92.559236,59.15,2.46,46.97,174.75,441.16,0.421,alluvial,weathered_mixed_rock,grassland,0.455,10.247,0.025,0,0.407,1,28.83,Moderate
9035,Goalpara,27.515912,92.910642,199.37,27.52,42.3,173.05,438.96,0.521,lateritic,granite,built_up,0.486,5.429,5.927,0,0.352,1,64.44,High
9036,Dhemaji,27.309522,91.558023,67.88,1.28,49.85,254.07,513.09,0.477,clayey,alluvium,shrubland,0.587,4.788,0.097,0,0.395,0,34.15,Moderate
9037,Dima Hasao,25.014577,95.653207,368.67,44.86,80.08,193.49,589.41,0.358,clayey,sandstone,cropland,0.518,0.178,0.73,0,0.559,1,79.92,Very High
9038,Hojai,26.201947,91.191953,86.36,6.02,70.53,225.66,545.06,0.344,lateritic,granite,shrubland,0.552,0.407,0.329,0,0.392,1,39.3,Moderate
9039,Tinsukia,28.216927,89.959803,69.64,4.62,73.38,230.55,825.32,0.35,colluvial,shale,built_up,0.494,3.565,2.2,0,0.539,0,35.94,Moderate
9040,Karbi Anglong,26.248284,94.37965,1024.36,16.97,101.31,206.19,711.16,0.407,alluvial,sandstone,grassland,0.432,0.742,0.357,1,0.702,1,62.66,High
9041,Karbi Anglong,25.885798,95.382661,319.35,4.93,40.28,131.76,388.53,0.369,alluvial,gneiss,forest,0.471,1.29,0.139,0,0.508,0,32.05,Moderate
9042,Cachar,24.188779,91.365995,767.35,11.69,35.74,145.16,466.59,0.351,alluvial,alluvium,forest,0.525,0.638,1.375,1,0.258,1,46.89,Moderate
9043,Nalbari,26.487571,92.54395,67.95,2.82,34.46,140.76,266.44,0.277,lateritic,alluvium,forest,0.66,3.304,1.292,0,0.15,0,19.27,Low
9044,West Karbi Anglong,28.06051,91.774173,300.71,23.8,57.83,167.73,591.31,0.282,sandy_loam,gneiss,forest,0.662,0.837,2.012,0,0.224,1,56.03,High
9045,Goalpara,27.899418,94.995745,335.28,37.57,17.75,65.53,232.57,0.227,clayey,weathered_mixed_rock,cropland,0.617,0.976,0.285,0,0.107,1,63.81,High
9046,Dima Hasao,27.055895,91.722782,1520.66,6.21,87.8,294.13,577.36,0.368,sandy_loam,gneiss,grassland,0.512,3.56,1.562,0,0.401,0,45.3,Moderate
9047,Hailakandi,25.459677,90.149643,653.94,15.43,147.69,317.39,550.41,0.524,alluvial,weathered_mixed_rock,forest,0.764,5.288,0.182,0,0.202,1,65.31,High
9048,Kamrup Metropolitan,27.173003,94.124101,305.99,9.77,69.63,160.76,612.35,0.36,lateritic,gneiss,cropland,0.456,1.216,8.096,0,0.437,0,41.13,Moderate
9049,Karimganj,26.382138,95.482555,372.77,15.12,100.41,369.08,1066.58,0.531,weathered_rock,weathered_mixed_rock,bare_land,0.518,1.391,0.023,1,0.383,1,71.21,High
9050,Kamrup,26.382416,95.017835,330.9,15.78,133.34,379.12,1129.42,0.501,alluvial,gneiss,forest,0.765,8.519,2.184,0,0.223,1,66.51,High
9051,Nagaon,27.523087,93.265369,16.49,4.32,100.93,386.79,831.08,0.396,weathered_rock,sandstone,forest,0.669,0.928,0.913,0,0.272,0,50.21,High
9052,Kamrup,25.019385,92.58132,129.15,25.32,244.21,650.0,1200.0,0.497,colluvial,shale,grassland,0.594,1.489,1.876,0,0.354,1,83.43,Very High
9053,Dima Hasao,26.496202,90.690079,339.92,15.33,33.38,101.43,230.05,0.325,sandy_loam,sandstone,forest,0.527,1.968,0.16,1,0.499,1,49.45,Moderate
9054,West Karbi Anglong,26.58782,91.825946,112.77,14.06,105.44,226.54,751.31,0.276,sandy_loam,shale,grassland,0.65,0.885,0.117,0,0.448,1,53.99,High
9055,Kamrup Metropolitan,27.980204,92.928923,562.55,22.6,28.57,85.76,274.21,0.258,clayey,sandstone,forest,0.513,1.285,0.63,1,0.564,1,55.57,High
9056,Karimganj,24.103805,89.833175,301.79,21.0,43.09,148.73,456.13,0.354,alluvial,gneiss,shrubland,0.562,0.947,5.775,1,0.31,1,58.28,High
9057,Morigaon,26.058978,90.353672,37.85,7.9,65.74,194.09,368.61,0.387,alluvial,sandstone,forest,0.676,8.454,2.109,0,0.116,1,32.6,Moderate
9058,Karbi Anglong,25.131785,93.188798,392.51,12.74,101.94,334.47,940.55,0.376,alluvial,shale,cropland,0.735,4.733,1.99,0,0.469,1,58.0,High
9059,Karbi Anglong,27.598621,91.797719,565.37,26.66,35.19,112.52,382.02,0.387,clayey,granite,built_up,0.536,6.041,4.197,0,0.123,0,55.34,High
9060,Karbi Anglong,25.298597,91.753978,564.8,7.53,93.92,210.71,545.18,0.46,weathered_rock,shale,forest,0.564,3.872,0.434,0,0.333,1,46.86,Moderate
9061,Bongaigaon,25.203233,92.644024,20.72,2.27,60.37,255.0,583.26,0.497,clayey,granite,forest,0.434,1.347,0.845,0,0.488,0,38.12,Moderate
9062,Hojai,26.907703,91.050027,87.35,2.2,18.62,131.38,208.68,0.358,weathered_rock,sandstone,forest,0.641,4.323,2.107,0,0.146,0,19.69,Low
9063,Sivasagar,25.218755,90.894522,14.99,1.55,43.46,172.38,582.75,0.39,sandy_loam,weathered_mixed_rock,forest,0.587,8.096,1.774,0,0.444,0,24.76,Low
9064,Hailakandi,25.731737,90.714593,466.87,7.35,82.68,261.59,543.84,0.344,alluvial,gneiss,shrubland,0.562,3.533,3.639,0,0.239,1,41.64,Moderate
9065,Goalpara,24.140838,93.490552,395.61,4.26,65.9,217.88,837.09,0.259,alluvial,alluvium,cropland,0.493,0.878,1.397,0,0.249,0,32.99,Moderate
9066,Goalpara,25.532765,89.753438,537.96,30.36,85.43,238.04,463.71,0.445,clayey,granite,forest,0.775,1.432,0.886,1,0.397,1,73.89,High
9067,West Karbi Anglong,27.023924,91.767685,439.45,11.4,33.62,165.28,460.35,0.374,lateritic,weathered_mixed_rock,bare_land,0.532,0.446,0.554,1,0.551,1,53.0,High
9068,Goalpara,26.375039,95.386366,471.43,14.16,90.87,250.96,579.89,0.361,weathered_rock,shale,cropland,0.542,2.275,1.38,0,0.252,0,54.65,High
9069,Dima Hasao,24.611099,95.606631,171.03,14.77,136.91,496.45,820.39,0.511,sandy_loam,gneiss,shrubland,0.476,6.356,0.05,0,0.455,1,74.14,High
9070,Karbi Anglong,27.527142,91.017564,199.14,6.9,44.61,267.04,644.42,0.398,weathered_rock,weathered_mixed_rock,bare_land,0.627,1.894,0.067,1,0.3,1,54.08,High
9071,Baksa,25.440085,90.027184,72.66,2.89,64.14,249.44,632.0,0.316,alluvial,sandstone,forest,0.729,0.136,0.421,0,0.017,1,32.69,Moderate
9072,Dibrugarh,27.775391,90.472852,71.45,3.83,63.21,228.8,459.6,0.347,clayey,sandstone,shrubland,0.57,0.191,1.684,0,0.432,1,35.92,Moderate
9073,Hailakandi,27.621603,92.740731,539.5,6.11,64.77,210.33,507.96,0.476,sandy_loam,sandstone,forest,0.516,3.621,0.747,0,0.472,0,41.68,Moderate
9074,Kamrup,24.628655,92.373528,319.79,14.06,200.93,620.37,1126.83,0.553,lateritic,granite,cropland,0.532,0.191,1.145,0,0.179,1,76.6,Very High
9075,Cachar,27.911202,93.432683,178.22,24.4,129.25,474.37,1200.0,0.524,clayey,weathered_mixed_rock,forest,0.777,3.834,4.162,0,0.092,1,79.91,Very High
9076,Tinsukia,24.328242,95.847814,29.6,2.04,13.38,54.62,203.65,0.353,weathered_rock,shale,bare_land,0.658,5.046,0.088,0,0.226,1,17.26,Low
